SOH,SOH,SOH
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
0.864119616,0.837152373,0.82899779
